IPCC_annex;C_group_IM24_sh;Country_code_A3;Name;Substance;Y_1970;Y_1971;Y_1972;Y_1973;Y_1974;Y_1975;Y_1976;Y_1977;Y_1978;Y_1979;Y_1980;Y_1981;Y_1982;Y_1983;Y_1984;Y_1985;Y_1986;Y_1987;Y_1988;Y_1989;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018;Y_2019;Y_2020;Y_2021;Y_2022;Y_2023
Non-Annex_I;Oceania;ASM;American Samoa;CO2;0,052676024;0,053884355;0,055005311;0,056024951;0,056947555;0,057805286;0,058550521;0,059249378;0,060031056;0,061115437;0,062624679;0,06462766;0,067044597;0,069802749;0,072760496;0,075765864;0,078831694;0,081932997;0,084995515;0,087961272;0,090744687;0,092774807;0,094624236;0,096335489;0,097979933;0,099597044;0,101208082;0,102744718;0,104202396;0,105521898;0,106662227;0,08833377;0,089178009;0,089764117;0,104968224;0,089765635;0,089055017;0,087920762;0,086595186;0,085375899;0,084480034;0,083998697;0,083862039;0,083978957;0,084176351;0,084328193;0,084422334;0,084486108;0,084543808;0,084616691;0,084726017;0,085031219;0,085031219;0,085031219
Non-Annex_I;Rest Central America;ATG;Antigua and Barbuda;CO2;102,3544219;102,2698791;124,5684846;125,665161;111,9424555;135,5440589;122,8687607;135,6734475;135,7028811;134,210808;132,6783762;116,280524;147,6080198;85,33510243;104,2985689;104,6581085;110,6690885;146,2402035;157,872775;161,8243317;163,6623599;164,3744355;165,5230304;161,3397678;175,7353581;183,8855351;182,4192883;192,9824906;197,5855844;200,1790325;135,3852246;132,3435249;149,7141974;163,2820594;165,9119111;172,0364249;195,8333928;214,3206844;230,7288202;266,2408266;278,4913337;212,1791247;226,0775885;259,3296018;279,5385239;290,8090233;314,7184839;276,9804926;294,9430854;340,3226472;275,9004898;305,2081422;306,4547585;323,1056183
Annex_I;Oceania;AUS;Australia;CO2;160376,939;162107,7229;167956,9496;177318,4756;186846,3146;193595,0414;196384,0386;209663,8004;205988,5888;211845,4117;222014,6875;222974,7375;229262,384;217733,3539;223519,0045;237935,4424;238395,2806;249584,5186;258383,3076;274161,2032;277712,2816;279733,6264;283112,9244;287023,9277;292375,5586;302692,2719;312671,2518;322370,9458;342108,7366;348112,6583;353869,6869;360408,1498;368620,9057;368114,9658;381942,0118;384085,6836;390151,2578;400665,2897;404285,121;410259,4192;415273,1165;412809,5962;413319,276;405652,3135;396257,5236;400542,4269;408506,0579;410837,0885;409206,6671;407860,3828;392519,0523;384677,2393;374878,511;373616,4239
Annex_I;OECD_Europe;AUT;Austria;CO2;52967,21273;55633,25031;57846,1379;61156,04838;58667,61229;56342,71259;61678,91549;58965,80494;60868,48509;63308,34978;61452,92233;57991,83826;55836,41732;55852,22396;57659,48979;59131,42615;57923,02836;58507,50055;57110,59076;57113,90049;61559,28585;65500,43105;60509,50778;60564,76185;61091,32285;64053,13932;67972,35869;67530,29229;68091,5461;66225,39263;66690,721;71375,99689;73215,97297;78165,56633;79605,1103;80409,99827;78267,96623;75438,18094;75236,85403;68056,32505;73795,78048;72194,68653;69027,1326;69612,67982;65929,0433;67369,13049;67782,51771;70106,33473;67186,84315;68533,24515;62599,75826;66175,32652;61223,71312;58815,13302
Non-Annex_I;Russia +;AZE;Azerbaijan;CO2;24226,65851;24249,45472;25871,03855;28046,71901;30228,81302;32715,0656;33741,42794;34967,90355;36966,08742;38384,08659;40424,169;41638,26962;42417,04705;43274,49046;44057,82832;44789,59255;45665,22099;46637,99986;46532,5237;46666,58582;56124,32141;54834,0585;44901,30282;39384,85712;34511,98093;33879,86315;28401,79858;27420,24981;27376,85505;27392,60375;28794,40117;27716,97659;27486,27547;29775,2966;29500,89779;31219,17083;31939,30546;28920,78521;32230,57404;27982,2228;26635,81579;29468,69723;32280,56373;33211,28433;34724,13545;34522,35066;34414,85295;34229,71861;34761,8745;36981,33803;35404,02622;37434,58962;39426,84169;42766,20028
Non-Annex_I;Eastern_Africa;BDI;Burundi;CO2;58,27364109;58,3721924;58,1812094;59,98420345;64,16276405;66,42917931;68,69155802;71,00177919;72,20657541;82,1823552;81,0967246;88,29715221;73,65223707;89,72372605;106,3320925;106,2991493;111,5377764;162,0797199;229,5864004;243,7565141;200,389002;282,8810531;222,78046;247,9375487;256,7801924;252,7613966;271,6503746;271,6635387;286,7823199;295,3319914;294,7375168;234,3622534;221,4302321;183,4415879;218,4765685;183,9072769;232,3306463;371,8790551;221,4079888;222,7823073;321,1863433;418,8941775;404,0865128;456,9400569;406,4560746;431,7975931;481,9696495;536,1766993;720,8918483;794,169292;882,1296371;887,362176;839,6098942;844,3332187
Annex_I;OECD_Europe;BEL;Belgium;CO2;139256,7317;129138,8995;140747,5856;146145,7639;144977,6825;127690,2673;137334,1983;134752,1565;139176,4848;148419,6727;137777,8999;125869,239;118126,8212;108440,302;111235,9283;108806,6043;109370,7814;109475,5481;111728,1145;112803,0134;115808,5778;119731,225;117627,2944;115696,6759;122111,1771;122416,5065;127409,0887;124418,4765;127404,2401;123036,6827;124969,6408;125934,014;118493,431;123371,641;121981,0692;119144,745;116191,2618;113023,4232;114381,6935;107403,8283;114977,0494;104572,5378;103086,3321;104422,4972;97724,46043;102379,0918;101260,9617;99700,38751;100098,1177;99882,48411;92267,02012;96251,00609;89739,26464;84306,06458
Non-Annex_I;Western_Africa;BEN;Benin;CO2;311,3724095;361,6770792;461,6023657;476,4641798;489,0119116;548,6346532;365,9447015;427,1446397;454,0841453;509,5106157;535,3703572;445,0370749;516,5950847;509,6968464;523,5742566;616,659868;552,8112624;502,1194735;454,5505858;400,7727172;397,0571061;348,9452207;379,2935363;384,1137988;390,3386763;396,6784202;1074,254538;1363,804566;1314,386061;1440,316701;1544,937583;1856,447686;2142,009505;2399,165346;2557,705839;2800,856002;3858,108073;4396,84862;4364,069632;4682,008781;5079,215026;4958,798054;4723,056044;4969,130447;5458,215505;5808,702834;7145,520407;7241,508566;8246,232777;8027,902897;8574,731208;6457,829066;6618,97968;6437,895655
Non-Annex_I;Western_Africa;BFA;Burkina Faso;CO2;226,299263;226,5558817;225,6849544;233,188562;251,0270032;260,6687768;270,0640309;279,3360253;284,0298485;326,2253353;320,6430081;307,7588977;287,0749392;313,4276355;303,5027055;293,6024824;357,4519185;507,5371785;497,9800026;412,5669021;326,2795993;459,1796834;392,9560387;412,1891425;449,1113845;461,2980137;511,2769374;817,0838452;771,1603345;797,4732321;878,7637474;1013,591873;1075,993938;1195,57692;1067,157407;1137,876463;1158,722693;1629,360019;1906,404523;1845,366007;1969,453109;2234,415044;2612,927158;3076,22519;2759,309049;3904,619951;3897,365031;4458,57542;4970,310468;5518,253341;5519,527376;5932,194502;6143,882265;5999,250483
Non-Annex_I;India +;BGD;Bangladesh;CO2;3338,416468;3345,172628;3469,355288;4098,257342;4315,274817;5172,862256;5550,514988;5776,929758;6196,757496;6908,386318;7717,407066;7796,507064;8424,679884;9061,472527;8771,250847;9795,641329;10782,49674;11889,12285;12740,36279;14078,17174;14765,61225;14067,79422;15731,50982;16951,28229;17999,33331;21777,03304;22084,24067;23955,67911;24477,89473;26128,59553;26973,84453;32629,30639;34340,17038;35982,84809;37902,67336;40374,74356;43482,23433;46207,02286;51316,88579;55115,14849;60755,15834;65291,45409;69857,48817;72062,87344;76636,88403;85430,58211;93976,35849;101024,8537;105484,995;108075,0612;102457,4715;116681,25;124077,9079;124793,3633
